Val,Post FT Obama,Region,State,R Age,Marital Status,Education,Military Service,Employed,R Race,R Gender,Pre FT Bush,Pre FT Obama,Pre FT McCain,Pre FT Biden,Pre FT Palin,Pre FT H Clinton,Pre FT B Clinton,Pre FT Condi,Pre FT Rush Lim,Pre FT Dem Party,Pre FT Rep Party,Post FT Bush,Post FT McCain,Post FT Biden,Post FT Palin,FT Rich People,FT Middle Class,FT Poor People,FT Working Class People,FT Ill Immigrants,FT People on Welfare,FT Liberals,FT Conservatives,FT Feminists,FT Environmentalists,FT Gay People,FT Big Business,FT Labor Unions,FT Military,FT Fed Govt,FT Supreme Court,FT Congress,FT Whites,FT Blacks,FT Hispanics,FT Asian Amer,FT Southerners,FT Christian Fundamentalis,FT Catholics,FT Jews,FT Israel,FT Muslims,FT Hindus,FT Christians,FT Atheists,One Party Control Pre,Better Worse Year Ago Pre,Own Stock Pre,Has Health Ins pre,Hopeful About Obama pre,Afraid of Obama pre,Care Who Wins pre,Expect Close Race pre,Duty to vote pre,Economy Better pre,Party ID pre,Iraq War pre,Impact on Terrorismc pre,Attitude to Uni Health Care,Welfare Spending pre,War on Terror Spending,Death Penalty,R Owns Gun,Religion Imp to R,Prays Often,R Born Again,Sexual Orientation,Should combat terrorists,Income Gap,Abortion,Abortion Importance,Prompt to recog Cheney,Prompt to recog Gordon Brown,Prompt to recog J Roberts,Crooks in Govt,Handling Afgan War,Handling Iraq War,Torture
out,70,West,CA,47,Married,12,R has never served in the military,Working now,White,Female  ,30,60,50,50,30,60,30,60,50,40,30,15,40,60,30,60,60,50,85,0,30,40,40,15,40,50,60,30,85,15,50,40,70,50,30,50,50,40,50,50,40,50,50,50,50,Better when control is split,Better,No,Yes,Yes,No,Care a good deal,Will be close,No,Gotten worse,Independent,Not worth it,Decreased,Neither favor nor oppose,Increased,Decreased,Favor,Yes,Not important,Once a day,No,Heterosexual or straight,Very important,Somewhat larger,,,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Favor
in,60,West,CA,65,Divorced,16,R has never served in the military,Working now,White,Female  ,60,15,60,50,60,40,50,70,0,30,60,60,70,60,50,50,85,70,85,40,30,50,60,60,60,70,60,0,60,60,60,60,70,60,60,70,85,50,70,70,60,40,50,70,40,Better when control is split,Worse,Yes,Yes,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Not worth it,Increased,Oppose,Increased,Increased,Favor,No,Not important,A few times a week,No,Heterosexual or straight,Somewhat important,Much larger,,,No,Yes,Yes,Quite a few are crooked,Approve,Disapprove,Neither favor nor oppose
in,15,West,CA,41,Never married,16,R has never served in the military,Working now,White,Male  ,85,15,85,15,70,0,0,85,50,0,70,85,100,30,70,100,85,85,100,70,50,0,100,30,60,70,100,0,100,60,40,15,85,85,85,85,100,60,50,85,85,0,50,85,15,Better when control is split,Worse,Yes,Yes,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Worth it,Stayed about the same,,Kept about the same,Increased,Favor,Yes,Not important,Never,No,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Not at all important,No,No,No,Quite a few are crooked,Approve,Approve,Favor
out,60,West,CA,,Married,6,R has never served in the military,Retired,Hispanic or Latino,Female  ,50,60,60,,50,70,85,70,,60,50,0,60,,0,50,50,70,100,50,15,,60,30,,0,0,85,70,0,50,70,85,,70,,,,70,85,,,,60,,Better when control is split,The same ,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Increased,Increased,Oppose,No,Important,Once a day,Yes,,Very important,Much smaller,"1. By law, abortion should never be permitted.",Very important,Yes,Yes,Yes,Not very many are crooked,Neither approve nor disapprove,Disapprove,Oppose
out,60,West,CA,70,Divorced,14,R has never served in the military,Retired,White,Male  ,60,40,60,40,70,15,0,40,30,60,60,40,60,40,70,50,50,50,60,30,40,50,40,50,50,40,40,30,50,40,40,40,50,40,50,50,50,40,50,60,50,50,50,60,40,Better when control is split,Worse,Yes,Yes,No,No,Care a good deal,Will be close,Yes,Gotten worse,Republican,Worth it,Increased,,Increased,Kept about the same,Favor,Yes,Not important,A few times a week,No,Heterosexual or straight,Somewhat important,Somewhat larger,"2. The law should permit abortion only in case of rape, incest, or",Somewhat important,No,Yes,Yes,Hardly any are crooked,Disapprove,Disapprove,Oppose
in,40,West,CA,73,Married,16,R has never served in the military,Retired,White,Female  ,40,60,60,,60,30,30,85,0,50,60,40,40,50,60,50,70,60,40,40,60,15,40,40,40,40,40,40,70,40,30,50,40,60,40,50,60,40,50,60,50,50,50,60,30,Better when control is split,Worse,No,Yes,No,No,Care a good deal,Will be close,Yes,Gotten worse,Independent,Not worth it,Increased,,Increased,Kept about the same,Oppose,Yes,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,"3. The law should permit abortion for reasons other than rape, incest,",Very important,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
out,30,West,CA,69,Married,16,Not currently serving but previously served,Retired,White,Male  ,70,30,70,60,85,15,85,85,60,40,70,70,85,15,85,85,85,85,85,0,50,40,85,50,70,85,70,30,85,40,40,15,85,85,85,85,85,50,85,85,85,50,85,50,50,Better when one party controls both,The same ,Yes,Yes,No,No,Care a good deal,Will be close,Yes,Stayed about the same,Republican,Worth it,Stayed about the same,Oppose,Kept about the same,Kept about the same,Favor,Yes,Not important,Once a week or less,No,Heterosexual or straight,Very important,Somewhat larger,,,No,Yes,Yes,Quite a few are crooked,Approve,Approve,Oppose
in,0,West,CA,45,Married,12,R has never served in the military,Homemaker,White,Female  ,100,30,100,15,85,0,0,85,50,0,100,100,70,0,85,50,70,70,70,0,50,15,60,40,70,15,60,50,85,40,60,60,70,50,60,30,100,60,60,70,15,15,30,70,15,Better when one party controls both,Worse,No,Yes,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Worth it,Stayed about the same,Favor,Increased,Increased,Favor,Yes,Important,Several times a day,No,Heterosexual or straight,Very important,Much larger,,,No,Yes,Yes,Quite a few are crooked,Approve,Approve,Favor
out,85,West,CA,78,Divorced,14,R has never served in the military,Retired,White,Female  ,60,30,70,,70,50,60,70,70,40,60,60,85,70,50,60,85,70,85,30,60,50,85,70,70,70,70,50,85,60,70,50,70,60,70,70,85,60,50,50,70,40,,70,50,Better when one party controls both,Worse,Yes,Yes,No,No,Care a good deal,Will be close,Yes,Gotten worse,Republican,Not worth it,Stayed about the same,Oppose,Increased,Increased,Favor,No,Important,A few times a week,No,Heterosexual or straight,Very important,Much larger,,,No,Yes,No,Not very many are crooked,Disapprove,Disapprove,Oppose
in,70,West,CA,18,Never married,12,R has never served in the military,Working now,Hispanic or Latino,Female  ,30,50,40,,,70,50,,,50,50,15,50,,50,50,60,,60,,60,,,50,60,50,40,50,85,50,40,50,,,,,,50,,50,50,,,50,,Better when one party controls both,The same ,No,Yes,No,No,Dont care very much,Win by quite a bit,No,Gotten worse,No preference ,Not worth it,Decreased,,Increased,Kept about the same,Oppose,No,Not important,Never,,Heterosexual or straight,Somewhat important,Somewhat larger,"2. The law should permit abortion only in case of rape, incest, or",Very important,Yes,Yes,Yes,Hardly any are crooked,Neither approve nor disapprove,Disapprove,Neither favor nor oppose
in,85,West,CA,43,Married,16,R has never served in the military,Working now,White,Male  ,0,85,0,,,70,100,,,100,30,0,30,,50,60,99,90,90,50,35,,,,,0,60,55,60,100,95,100,60,65,,70,,,65,,,50,5,80,,Better when one party controls both,Better,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Worth it,Stayed about the same,,Increased,Increased,Favor,No,Important,Once a day,,Heterosexual or straight,Very important,Much larger,"3. The law should permit abortion for reasons other than rape, incest,",Not too important,Yes,Yes,Yes,Not very many are crooked,Approve,Disapprove,Favor
in,85,West,CA,51,Married,6,R has never served in the military,Unemployed,Hispanic or Latino,Male  ,30,85,50,70,30,70,70,50,,70,60,4,50,70,30,50,60,70,85,70,40,60,50,40,60,30,70,50,60,60,70,85,50,40,70,60,60,50,60,60,60,40,50,70,30,Better when control is split,Worse,No,No,No,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Kept about the same,Increased,Oppose,No,Not important,Once a week or less,No,Heterosexual or straight,Very important,Much smaller,"2. The law should permit abortion only in case of rape, incest, or",Very important,Yes,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Favor
in,100,West,CA,,Married,13,R has never served in the military,Temporarily laid off,Hispanic or Latino,Female  ,40,100,30,,40,60,30,60,,100,30,25,25,75,20,50,100,100,100,60,40,50,40,100,100,85,60,40,80,80,80,50,50,80,100,50,50,50,100,50,50,5,50,80,,Better when control is split,Worse,No,No,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Decreased,,Increased,Decreased,Favor,Yes,Not important,A few times a week,No,Heterosexual or straight,Somewhat important,Much larger,"2. The law should permit abortion only in case of rape, incest, or",Extremely important,Yes,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Oppose
out,100,West,CA,32,Married,13,R has never served in the military,Working now,Black,Male  ,0,100,40,85,0,40,100,85,30,70,50,0,75,90,15,60,100,70,100,90,70,70,80,40,98,,65,80,100,,87,90,100,100,100,98,100,100,50,80,100,,95,100,,Better when control is split,Worse,No,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Increased,Oppose,Increased,Increased,Oppose,No,Important,A few times a week,Yes,Heterosexual or straight,Very important,Much larger,,,Yes,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Oppose
out,100,West,CA,48,"6. Partnered, not married ",13,R has never served in the military,Working now,Black,Female  ,0,100,0,,50,60,85,50,50,100,0,0,0,50,50,85,100,100,100,50,100,60,60,50,60,0,50,100,0,50,50,50,85,100,85,85,60,100,100,85,85,60,85,100,0,Better when control is split,The same ,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Increased,,Kept about the same,Increased,Favor,No,Important,Once a day,Yes,Heterosexual or straight,Not important at all,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Very important,Yes,Yes,No,Quite a few are crooked,Disapprove,Disapprove,Oppose
out,85,West,CA,18,Never married,12,R has never served in the military,Working now,Hispanic or Latino,Male  ,0,70,70,,50,60,70,40,50,60,70,0,85,50,50,50,70,50,70,15,0,60,50,50,70,50,50,70,50,50,50,60,50,50,50,50,50,50,50,50,50,50,50,50,50,Better when control is split,Better,No,Yes,No,No,Care a good deal,Win by quite a bit,Yes,Gotten better,Republican,Not worth it,Increased,,Increased,Kept about the same,Favor,No,Important,Once a week or less,,Heterosexual or straight,Very important,Somewhat larger,"4. By law, a woman should always be able to obtain an abortion as a",Extremely important,Yes,Yes,Yes,Not very many are crooked,Approve,Approve,Neither favor nor oppose
in,85,West,CA,42,Divorced,14,R has never served in the military,Working now,Black,Female  ,30,85,50,70,50,50,60,0,0,85,40,50,60,70,15,30,85,,100,15,40,85,70,50,85,100,15,100,100,50,60,40,85,85,85,85,,85,85,70,85,85,85,100,70,Better when control is split,Better,Yes,Yes,Yes,Yes,Care a good deal,Will be close,Yes,Gotten worse,Independent,Not worth it,Stayed about the same,Favor,Increased,Increased,Oppose,Yes,Important,Once a day,No,Homosexual or gay ,Somewhat important,Much larger,,,Yes,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
out,70,West,CA,43,Married,12,R has never served in the military,Working now,White,Female  ,0,70,40,50,30,100,85,85,50,100,15,0,15,50,40,100,100,100,100,15,85,100,100,100,70,85,40,100,100,15,70,30,100,100,100,100,100,50,100,100,50,100,100,100,40,Better when one party controls both,Better,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Increased,,Kept about the same,Kept about the same,Favor,Yes,Not important,A few times a week,No,Heterosexual or straight,Very important,Much larger,"3. The law should permit abortion for reasons other than rape, incest,",Somewhat important,Yes,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Favor
in,50,West,CA,46,Married,13,R has never served in the military,Working now,Hispanic or Latino,Female  ,85,50,70,,70,60,30,85,0,50,50,70,70,,60,85,85,85,85,50,85,70,70,60,70,40,60,60,100,60,60,60,85,85,85,85,85,70,85,85,70,50,70,85,40,Better when control is split,Better,No,Yes,No,Yes,Care a good deal,Win by quite a bit,Yes,Gotten worse,Republican,Worth it,Increased,Neither favor nor oppose,Kept about the same,Kept about the same,Favor,Yes,Important,A few times a week,Yes,Heterosexual or straight,Very important,Much larger,,,No,Yes,Yes,Quite a few are crooked,Neither approve nor disapprove,Neither approve nor disapprove,Neither favor nor oppose
out,70,West,CA,36,Married,13,R has never served in the military,Working now,White,Male  ,15,85,50,85,40,85,100,70,0,85,30,30,60,70,50,70,85,60,85,60,40,50,40,70,60,60,30,100,60,15,50,15,70,60,70,70,50,50,100,60,60,60,60,70,70,Better when control is split,Better,Yes,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Increased,Neither favor nor oppose,Kept about the same,Kept about the same,Favor,No,Not important,Once a week or less,No,Heterosexual or straight,Somewhat important,Much larger,,,No,Yes,No,Quite a few are crooked,Disapprove,Disapprove,Oppose
in,80,West,CA,44,Separated,12,R has never served in the military,Working now,Hispanic or Latino,Female  ,50,50,50,,50,50,50,,,50,50,40,50,,50,50,80,80,80,60,50,50,,60,,50,50,50,70,60,50,50,60,60,85,,,,85,60,,,60,85,,It doesnt matter,Better,No,Yes,No,No,Dont care very much,Will be close,No,Gotten worse,No preference ,Not worth it,Decreased,Favor,Increased,Kept about the same,Favor,No,Not important,Never,No,Heterosexual or straight,Somewhat important,Much larger,,,Yes,Yes,Yes,Quite a few are crooked,Neither approve nor disapprove,Disapprove,Neither favor nor oppose
out,60,West,CA,18,Never married,12,R has never served in the military,Working now,Hispanic or Latino,Female  ,40,70,40,50,50,70,70,60,50,85,40,40,50,50,50,50,60,50,70,60,40,50,40,60,60,50,50,50,50,40,50,50,50,50,70,50,50,50,50,50,50,50,50,50,40,Better when one party controls both,Worse,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Kept about the same,Increased,Oppose,No,Important,A few times a week,No,Heterosexual or straight,Very important,,"4. By law, a woman should always be able to obtain an abortion as a",Somewhat important,Yes,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Oppose
out,100,West,CA,45,Married,12,R has never served in the military,Working now,Hispanic or Latino,Female  ,50,100,40,50,50,70,85,60,50,85,40,50,15,70,15,60,70,70,85,70,50,50,60,60,70,50,70,60,85,70,40,50,60,60,85,50,40,60,85,60,50,60,60,70,40,Better when one party controls both,The same ,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Kept about the same,Increased,,No,Important,Several times a day,No,Heterosexual or straight,Very important,Somewhat larger,"1. By law, abortion should never be permitted.",Very important,Yes,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Neither favor nor oppose
out,100,West,CA,,Divorced,13,R has never served in the military,Unemployed,Hispanic or Latino,Female  ,20,70,20,80,40,75,70,60,,100,0,0,40,100,40,50,85,85,100,85,40,60,85,70,70,60,70,50,85,40,50,70,100,100,100,70,85,50,100,70,50,50,85,85,50,It doesnt matter,Worse,No,No,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Increased,Increased,Oppose,No,Important,Once a day,No,Heterosexual or straight,Not important at all,Much larger,"2. The law should permit abortion only in case of rape, incest, or",Somewhat important,No,No,Yes,Quite a few are crooked,Disapprove,Disapprove,Neither favor nor oppose
in,70,West,CA,32,Married,12,R has never served in the military,Homemaker,Hispanic or Latino,Female  ,0,70,50,50,50,60,70,40,,50,40,40,50,50,50,50,70,70,70,60,50,60,60,60,70,60,50,60,70,60,50,60,60,60,60,60,60,50,60,60,60,60,60,60,50,It doesnt matter,Worse,No,No,Yes,No,Dont care very much,Win by quite a bit,No,Gotten worse,Other party ,Not worth it,Stayed about the same,,Kept about the same,Increased,,No,Not important,A few times a week,No,Heterosexual or straight,Very important,Somewhat larger,"4. By law, a woman should always be able to obtain an abortion as a",Somewhat important,Yes,Yes,Yes,Hardly any are crooked,Disapprove,Disapprove,Neither favor nor oppose
in,100,West,CA,57,Married,14,R has never served in the military,Working now,Black,Male  ,15,70,40,70,0,70,85,50,0,70,40,30,40,85,15,60,85,100,85,85,85,100,40,85,85,85,30,100,85,60,15,50,85,85,85,85,85,30,85,85,85,85,85,85,85,Better when control is split,Worse,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Increased,Increased,Oppose,No,Important,Never,Yes,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Somewhat important,Yes,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Oppose
in,85,West,CA,44,Never married,12,R has never served in the military,Working now,White,Male  ,15,85,50,85,40,85,85,60,30,70,30,15,50,85,60,50,50,50,60,40,40,50,50,50,50,50,30,30,50,40,50,60,50,50,50,50,50,40,50,50,40,50,50,50,50,Better when control is split,Worse,No,No,Yes,No,Care a good deal,Win by quite a bit,No,Gotten worse,Democrat,Not worth it,Stayed about the same,,Increased,Increased,Oppose,Yes,Important,Once a week or less,,Heterosexual or straight,Somewhat important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Not too important,No,Yes,No,Not very many are crooked,Disapprove,Disapprove,Oppose
out,70,West,CA,73,Widowed,7,R has never served in the military,Retired,Black,Male  ,0,50,15,60,0,85,60,0,0,15,0,15,50,60,40,70,70,100,70,0,60,85,40,50,100,50,30,60,85,50,40,60,50,50,50,50,100,30,30,70,85,50,50,100,0,Better when one party controls both,The same ,No,Yes,No,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Increased,Oppose,Increased,Kept about the same,Favor,No,Important,Once a day,No,Heterosexual or straight,Very important,Much larger,,,No,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Oppose
out,60,West,CA,50,Married,16,Not currently serving but previously served,Retired,White,Male  ,40,60,70,40,60,40,30,30,0,50,50,50,40,40,40,70,85,85,85,70,70,70,50,85,85,40,40,40,85,40,70,40,85,85,85,85,60,40,85,85,70,60,85,85,60,Better when control is split,Worse,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Independent,Not worth it,Stayed about the same,,Decreased,Increased,Oppose,,Important,Several times a day,Yes,Heterosexual or straight,Somewhat important,About the same,"3. The law should permit abortion for reasons other than rape, incest,",Not too important,No,No,No,Not very many are crooked,Neither approve nor disapprove,Disapprove,Oppose
out,30,West,CA,76,Married,13,R has never served in the military,Retired,White,Male  ,60,15,60,20,85,40,30,60,70,30,60,40,60,40,100,85,85,100,100,40,70,40,85,40,40,50,50,40,100,40,70,30,85,85,70,85,85,100,50,60,70,30,50,100,40,Better when control is split,The same ,Yes,Yes,No,Yes,Care a good deal,Win by quite a bit,Yes,Gotten worse,Republican,Not worth it,Stayed about the same,Oppose,Kept about the same,Kept about the same,Favor,Yes,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,,,No,Yes,Yes,Quite a few are crooked,Disapprove,Approve,Favor
in,60,West,CA,42,Married,16,R has never served in the military,Working now,White,Female  ,40,60,50,50,50,50,60,50,40,50,50,40,50,50,50,50,50,50,50,50,50,50,50,50,60,60,50,50,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,Better when control is split,Better,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten better,Independent,Not worth it,Stayed about the same,,Increased,Increased,Oppose,No,Not important,Never,,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Very important,No,No,No,Not very many are crooked,Neither approve nor disapprove,Disapprove,Oppose
out,15,West,CA,66,Married,14,R has never served in the military,Working now,Hispanic or Latino,Female  ,85,0,85,50,85,15,0,85,70,15,70,60,70,50,70,50,85,50,85,40,15,30,85,15,15,85,40,15,100,40,70,30,85,85,85,70,70,40,85,85,85,60,70,85,0,Better when one party controls both,Better,Yes,Yes,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Worth it,Decreased,Oppose,Increased,Kept about the same,Favor,Yes,Important,A few times a week,No,Heterosexual or straight,Very important,Somewhat larger,,,No,Yes,Yes,Not very many are crooked,Approve,Approve,Favor
out,100,West,CA,64,Widowed,14,R has never served in the military,Retired,Native American,Female  ,0,85,50,85,30,85,100,50,0,85,40,0,40,100,15,85,85,85,100,30,85,85,50,50,85,50,15,85,100,0,50,40,85,85,85,85,85,85,85,85,60,85,85,85,70,,Worse,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Increased,Neither favor nor oppose,Increased,Increased,Favor,Yes,Important,A few times a week,No,Heterosexual or straight,Very important,Much larger,,,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
in,10,West,CA,20,Never married,13,R has never served in the military,Working now,White,Female  ,40,70,50,,70,40,30,60,50,70,60,50,50,85,40,50,70,50,85,30,60,85,30,85,70,100,50,50,70,50,50,50,100,70,60,60,60,60,70,0,50,70,70,60,60,Better when control is split,Better,No,Yes,Yes,No,Dont care very much,Win by quite a bit,Yes,Gotten worse,No preference ,Not worth it,Stayed about the same,,Kept about the same,Kept about the same,Favor,No,Not important,Never,,Bisexual,Somewhat important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Not at all important,Yes,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Neither favor nor oppose
out,50,West,CA,45,Married,12,R has never served in the military,Working now,Hispanic or Latino,Male  ,100,40,85,40,100,0,15,100,100,50,85,85,85,30,100,85,85,85,85,15,30,15,100,0,15,0,70,15,100,70,15,60,70,70,70,70,85,100,85,85,100,60,0,100,0,Better when one party controls both,Better,No,No,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Worth it,Decreased,Oppose,Decreased,Decreased,Favor,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Somewhat larger,,,No,Yes,Yes,Quite a few are crooked,Approve,Approve,Favor
out,30,West,CA,69,Married,17,R has never served in the military,Retired,White,Male  ,85,40,85,30,85,30,30,70,85,15,60,40,50,30,70,75,85,70,85,0,45,20,55,30,15,15,45,15,90,0,0,0,85,40,40,85,85,70,85,85,85,0,50,100,40,Better when control is split,The same ,Yes,Yes,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Worth it,Increased,Oppose,Increased,Kept about the same,Favor,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,,,No,No,No,Quite a few are crooked,Neither approve nor disapprove,Approve,Favor
out,70,West,CA,55,Married,14,Not currently serving but previously served,Unemployed,White,Male  ,70,85,85,0,60,70,30,100,85,60,70,60,70,60,60,70,70,70,85,15,70,50,70,70,70,70,85,50,100,70,70,70,70,70,70,70,70,50,70,70,60,70,70,70,70,Better when one party controls both,The same ,Yes,Yes,Yes,Yes,Care a good deal,Will be close,Yes,Stayed about the same,Republican,Not worth it,Stayed about the same,Favor,Increased,Cut out entirely ,Oppose,No,Important,Once a day,Yes,Heterosexual or straight,Very important,Somewhat larger,,,Yes,Yes,Yes,Hardly any are crooked,Approve,Approve,Neither favor nor oppose
out,70,West,CA,27,Never married,16,R has never served in the military,Student,Hispanic or Latino,Male  ,70,70,60,,60,70,70,70,60,50,60,60,50,60,60,70,85,70,85,60,60,60,70,60,60,60,40,60,85,60,60,70,70,85,70,70,85,60,70,85,60,70,70,85,70,Better when control is split,The same ,No,Yes,Yes,No,Dont care very much,Will be close,Yes,Stayed about the same,Independent,Worth it,Decreased,,Increased,Kept about the same,Favor,Yes,Important,Several times a day,Yes,Heterosexual or straight,Very important,About the same,"3. The law should permit abortion for reasons other than rape, incest,",Not too important,No,Yes,Yes,Hardly any are crooked,Approve,Approve,Favor
in,30,West,CA,49,Married,15,R has never served in the military,Working now,White,Female  ,70,15,60,50,100,0,15,85,70,50,60,70,50,40,100,60,60,50,70,15,30,50,50,50,40,50,50,30,70,30,50,40,50,50,50,50,50,40,50,50,30,30,50,70,50,Better when one party controls both,Better,Yes,Yes,No,Yes,Care a good deal,Win by quite a bit,Yes,Gotten worse,Republican,Not worth it,Stayed about the same,Oppose,Kept about the same,Decreased,Favor,Yes,Important,A few times a week,No,Heterosexual or straight,Very important,About the same,,,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Favor
in,90,West,CA,47,Married,17,R has never served in the military,Working now,White,Male  ,15,85,70,70,65,70,80,60,3,30,29,15,85,70,60,50,60,60,60,50,50,60,60,60,60,60,30,40,70,35,50,35,60,60,60,60,60,60,60,60,80,60,60,60,60,It doesnt matter,Worse,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Independent,Not worth it,Increased,Neither favor nor oppose,Decreased,Kept about the same,Oppose,Yes,Important,A few times a week,,Heterosexual or straight,Very important,Much larger,,,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
out,40,West,CA,90,Married,8,Not currently serving but previously served,Retired,White,Male  ,70,40,60,,70,60,70,85,50,100,100,70,50,50,60,70,100,85,100,40,60,60,100,30,70,0,85,60,100,85,85,85,85,70,70,50,85,50,70,85,85,50,50,85,0,Better when one party controls both,The same ,Yes,Yes,No,Yes,Care a good deal,Will be close,Yes,Stayed about the same,Republican,Not worth it,Stayed about the same,,Kept about the same,Decreased,Favor,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,"2. The law should permit abortion only in case of rape, incest, or",Not too important,No,Yes,Yes,Not very many are crooked,Disapprove,Approve,Favor
in,40,West,CA,43,Married,12,R has never served in the military,Unemployed,White,Male  ,85,40,70,60,70,15,50,,30,30,100,85,85,60,60,60,85,85,100,15,30,40,85,40,70,15,15,40,85,60,70,40,85,40,70,70,50,85,85,70,,30,50,100,0,Better when control is split,Worse,Yes,Yes,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Worth it,Stayed about the same,Oppose,Increased,Kept about the same,Favor,No,Important,Once a day,Yes,Heterosexual or straight,Very important,Much larger,,,No,Yes,Yes,Quite a few are crooked,Approve,Approve,Favor
in,100,West,CA,34,Married,13,R has never served in the military,Working now,Hispanic or Latino,Female  ,0,100,15,70,50,85,85,40,50,70,40,0,49,80,20,50,80,50,90,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,Better when control is split,The same ,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Increased,Decreased,Oppose,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,About the same,"4. By law, a woman should always be able to obtain an abortion as a",Not too important,Yes,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Neither favor nor oppose
in,40,West,CA,54,Married,13,Not currently serving but previously served,Working now,White,Male  ,70,30,60,30,85,40,0,85,85,40,70,60,70,50,85,60,,85,85,70,40,0,85,40,40,40,70,40,85,30,85,15,50,85,50,85,,85,60,70,85,60,50,85,40,Better when control is split,Worse,Yes,Yes,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Worth it,Decreased,Oppose,Increased,Increased,Favor,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Somewhat larger,,,No,Yes,Yes,Quite a few are crooked,Approve,Neither approve nor disapprove,Neither favor nor oppose
