Val,Post FT Obama,Region,R Age,Marital Status,Education,Military Service,Employed,R Race,R Gender,Pre FT Bush,Pre FT Obama,Pre FT McCain,Pre FT Biden,Pre FT Palin,Pre FT H Clinton,Pre FT B Clinton,Pre FT Condi,Pre FT Rush Lim,Pre FT Dem Party,Pre FT Rep Party,Post FT Bush,Post FT McCain,Post FT Biden,Post FT Palin,FT Rich People,FT Middle Class,FT Poor People,FT Working Class People,FT Ill Immigrants,FT People on Welfare,FT Liberals,FT Conservatives,FT Feminists,FT Environmentalists,FT Gay People,FT Big Business,FT Labor Unions,FT Military,FT Fed Govt,FT Supreme Court,FT Congress,FT Whites,FT Blacks,FT Hispanics,FT Asian Amer,FT Southerners,FT Christian Fundamentalis,FT Catholics,FT Jews,FT Israel,FT Muslims,FT Hindus,FT Christians,FT Atheists,One Party Control Pre,Better Worse Year Ago Pre,Own Stock Pre,Has Health Ins pre,Hopeful About Obama pre,Afraid of Obama pre,Care Who Wins pre,Expect Close Race pre,Duty to vote pre,Economy Better pre,Party ID pre,Iraq War pre,Impact on Terrorismc pre,"Attitude to Uni Health Care, pre",Welfare Spending pre,War on Terror Spending,Death Penalty,R Owns Gun,Religion Imp to R,Prays Often,R Born Again,Sexual Orientation,Should combat terrorists,Income Gap,Abortion,Abortion Importance,Prompt to recog Cheney,Prompt to recog Gordon Brown,Prompt to recog J Roberts,Crooks in Govt,Handling Afgan War,Handling Iraq War,Torture
in,60,West,45,Married,13,R has never served in the military,Working now,Asian,Male,100,60,85,70,100,50,40,100,60,0,70,70,60,50,70,50,100,60,70,50,50,30,85,40,40,40,70,40,100,50,70,40,70,50,60,60,50,85,70,70,100,40,50,85,50,Better when control is split,Better,Yes,Yes,Yes,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Worth it,Stayed about the same,Oppose,Increased,Increased,Favor,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Somewhat larger,,,Yes,Yes,Yes,Hardly any are crooked,Approve,Approve,Favor
in,85,West,55,Divorced,17,Not currently serving but previously served,Permanently disabled,White,Male,60,85,60,60,50,85,85,70,30,70,30,40,85,70,70,70,100,70,100,100,,100,,100,100,100,70,100,50,60,100,100,100,100,100,100,100,100,100,100,100,85,100,85,70,It doesnt matter,Worse,No,Yes,Yes,No,Dont care very much,Win by quite a bit,Yes,Stayed about the same,Independent,Not worth it,Decreased,,Increased,Kept about the same,,No,Important,A few times a week,Yes,Heterosexual or straight,Very important,,"4. By law, a woman should always be able to obtain an abortion as a",Very important,Yes,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
in,100,West,23,Never married,12,R has never served in the military,Working now,White,Female,70,50,50,,,100,0,,60,0,100,85,15,,50,15,70,85,85,85,100,50,50,100,50,15,70,50,100,50,70,50,50,85,60,50,50,85,50,15,0,50,15,100,15,It doesnt matter,Better,No,Yes,No,No,Dont care very much,Will be close,No,,Independent,Not worth it,Stayed about the same,,Increased,Increased,Favor,No,Important,Several times a day,Yes,Bisexual,Somewhat important,,"4. By law, a woman should always be able to obtain an abortion as a",Very important,Yes,Yes,Yes,Quite a few are crooked,Neither approve nor disapprove,Neither approve nor disapprove,Favor
out,100,West,59,Never married,12,R has never served in the military,Permanently disabled,Native American,Male,15,85,40,70,15,70,70,30,0,85,15,15,40,85,30,30,70,70,85,30,70,85,30,70,85,50,30,70,60,70,50,70,60,50,70,85,70,30,60,50,70,50,50,50,60,Better when one party controls both,The same ,Yes,Yes,Yes,Yes,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,Oppose,Increased,Increased,Favor,No,Not important,Never,No,Heterosexual or straight,Very important,Somewhat larger,,,Yes,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Oppose
out,85,West,19,Never married,13,R has never served in the military,Working now,Black,Female,0,60,0,,15,85,85,,15,85,0,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,60,50,50,60,50,50,50,50,50,50,50,60,50,50,50,60,0,It doesnt matter,Better,No,No,Yes,No,Dont care very much,Will be close,Yes,Gotten worse,Republican,Not worth it,Increased,Oppose,Increased,,Oppose,No,Important,A few times a week,Yes,Heterosexual or straight,Somewhat important,Much larger,,,Yes,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Favor
in,100,West,61,Married,16,R has never served in the military,Permanently disabled,Hispanic or Latino,Male,60,85,40,85,40,100,100,50,,100,50,40,50,85,30,60,85,85,100,85,40,85,60,70,100,70,70,50,85,85,85,100,85,85,100,70,70,50,85,85,60,60,85,70,70,Better when one party controls both,Worse,No,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Increased,Favor,Kept about the same,Increased,Oppose,No,Not important,Once a day,No,Heterosexual or straight,Very important,Much larger,,,Yes,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
in,70,West,28,Never married,14,R has never served in the military,Student,Hispanic or Latino,Male,0,70,15,50,30,70,70,15,50,50,15,0,15,60,15,50,100,100,100,85,50,100,15,85,70,100,50,85,50,60,70,70,100,100,100,100,100,85,70,100,85,100,100,85,60,Better when control is split,Worse,No,No,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Independent,Not worth it,Stayed about the same,Favor,Increased,Decreased,Favor,No,Not important,Once a week or less,No,Heterosexual or straight,Somewhat important,Somewhat larger,,,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Neither favor nor oppose
in,70,West,59,Married,14,R has never served in the military,Working now,Hispanic or Latino,Female,0,70,0,50,15,100,100,0,60,85,30,0,15,,50,50,70,85,85,70,50,50,50,50,70,85,50,60,50,60,70,60,70,70,85,70,50,50,70,70,50,50,50,40,50,Better when control is split,Worse,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,Favor,Increased,Kept about the same,Oppose,Yes,Important,Several times a day,No,Heterosexual or straight,Very important,Somewhat larger,,,No,No,No,Not very many are crooked,Disapprove,Disapprove,Oppose
in,50,West,26,Never married,12,R has never served in the military,Working now,Hispanic or Latino,Male,0,85,50,,50,0,100,50,,0,0,15,50,50,,50,100,50,100,70,0,60,60,50,85,50,40,60,100,50,50,15,50,15,100,50,100,50,100,0,50,50,50,40,50,It doesnt matter,Worse,No,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Independent,Not worth it,Stayed about the same,Favor,Increased,Increased,Oppose,No,Important,Once a week or less,No,Heterosexual or straight,Very important,Somewhat larger,,,Yes,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Favor
out,40,West,60,Married,12,Not currently serving but previously served,Retired,Hispanic or Latino,Male,0,0,85,15,85,85,70,50,30,70,85,0,85,40,15,60,85,70,85,0,15,85,40,15,85,15,30,100,100,30,40,60,40,60,70,70,15,40,0,70,85,15,60,0,50,It doesnt matter,Worse,Yes,Yes,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Decreased,Favor,Increased,Increased,Favor,Yes,Not important,Never,,Heterosexual or straight,Very important,Somewhat larger,,,No,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Oppose
out,60,West,38,Married,16,R has never served in the military,Working now,Hispanic or Latino,Female,15,60,40,,,85,70,60,,60,40,15,15,,40,60,70,40,85,60,0,60,60,70,70,70,85,60,85,60,70,40,60,60,70,70,70,40,70,60,60,60,60,40,60,Better when control is split,Worse,No,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Increased,Favor,Increased,Increased,Oppose,No,Important,Once a week or less,No,Heterosexual or straight,Somewhat important,Somewhat smaller,,,Yes,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Favor
in,50,West,29,Never married,16,R has never served in the military,Working now,Hispanic or Latino,Female,50,50,40,50,50,60,70,50,40,60,40,50,50,50,50,50,50,50,60,50,50,50,50,50,60,50,50,40,50,50,40,50,50,50,50,50,50,50,50,50,50,50,50,50,50,It doesnt matter,Better,No,Yes,No,No,Dont care very much,Will be close,No,Gotten worse,Democrat,Not worth it,Stayed about the same,,Kept about the same,Kept about the same,Oppose,No,Not important,Once a week or less,No,Heterosexual or straight,Somewhat important,About the same,"4. By law, a woman should always be able to obtain an abortion as a",Somewhat important,No,No,No,Quite a few are crooked,Disapprove,Disapprove,Oppose
out,100,West,59,Separated,12,R has never served in the military,Retired,Hispanic or Latino,Male,60,85,70,60,50,85,85,70,70,85,60,70,60,100,60,70,85,85,85,70,70,60,70,70,85,30,100,85,100,100,85,85,85,85,100,85,70,70,100,60,70,60,60,70,70,Better when control is split,Worse,No,Yes,Yes,No,Care a good deal,Will be close,No,Stayed about the same,Independent,Not worth it,Stayed about the same,,Decreased,Decreased,Favor,No,Important,Several times a day,No,Heterosexual or straight,Somewhat important,Much larger,"1. By law, abortion should never be permitted.",Extremely important,Yes,Yes,Yes,Hardly any are crooked,Disapprove,Disapprove,Favor
out,100,West,30,Married,12,R has never served in the military,Homemaker,Hispanic or Latino,Female,70,85,70,60,,85,85,,60,100,85,85,85,,,70,70,85,85,85,70,60,70,85,85,40,70,85,70,70,70,85,70,70,85,70,,70,85,70,70,60,,70,15,Better when control is split,Worse,No,No,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Increased,,Increased,Increased,Oppose,No,Important,Once a day,Yes,Heterosexual or straight,Very important,Much larger,"1. By law, abortion should never be permitted.",Extremely important,Yes,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Neither favor nor oppose
in,85,West,19,Married,11,R has never served in the military,Student,Hispanic or Latino,Female,0,85,0,,50,15,70,50,50,50,30,0,50,50,50,85,70,60,85,70,40,50,60,60,50,0,85,60,60,50,60,60,70,50,85,60,50,,60,60,60,30,60,60,50,It doesnt matter,Better,No,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Independent,Not worth it,Stayed about the same,Favor,Decreased,Kept about the same,Favor,No,Not important,Once a day,No,Heterosexual or straight,Very important,Somewhat larger,,,Yes,Yes,No,Not very many are crooked,Disapprove,Disapprove,Favor
in,85,West,55,Divorced,16,R has never served in the military,Working now,Hispanic or Latino,Female,0,85,30,70,15,85,100,50,0,70,0,0,30,85,15,50,70,60,70,60,40,70,15,60,70,70,15,60,30,0,30,40,70,60,85,60,40,15,40,60,60,50,50,40,50,Better when control is split,Worse,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,Neither favor nor oppose,Kept about the same,Decreased,Oppose,No,Not important,Once a week or less,No,Heterosexual or straight,Very important,Somewhat larger,,,No,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Neither favor nor oppose
out,85,West,36,Divorced,13,R has never served in the military,Working now,Hispanic or Latino,Female,15,70,40,50,40,85,85,60,30,85,40,0,15,85,30,60,70,100,100,85,40,60,40,85,60,100,70,60,40,70,85,40,60,70,85,60,60,40,85,60,60,15,40,70,60,It doesnt matter,Better,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Increased,,Increased,Increased,Favor,Yes,Important,A few times a week,No,Heterosexual or straight,Very important,Somewhat larger,"4. By law, a woman should always be able to obtain an abortion as a",Very important,Yes,Yes,Yes,Quite a few are crooked,Disapprove,Neither approve nor disapprove,Oppose
out,100,West,69,Divorced,13,R has never served in the military,Retired,Black,Female,15,100,30,70,30,85,85,60,15,70,30,30,30,100,50,70,85,100,100,50,70,70,50,85,70,40,70,100,100,50,30,50,85,70,60,50,85,70,85,85,70,60,50,85,50,Better when control is split,Worse,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,Oppose,,Decreased,Oppose,No,Important,Once a day,Yes,Heterosexual or straight,Very important,Much larger,,,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
out,70,West,35,Married,15,R has never served in the military,Working now,Hispanic or Latino,Male,0,70,60,85,60,85,100,70,85,70,70,30,30,70,30,60,85,70,85,60,50,60,60,60,85,60,50,85,85,60,60,60,60,60,85,60,60,60,60,60,60,60,60,60,60,Better when one party controls both,Worse,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Stayed about the same,No preference ,Not worth it,Decreased,,Kept about the same,Kept about the same,Favor,Yes,Not important,A few times a week,No,Heterosexual or straight,Somewhat important,Somewhat larger,"4. By law, a woman should always be able to obtain an abortion as a",Somewhat important,Yes,Yes,Yes,Hardly any are crooked,Disapprove,Disapprove,Favor
in,85,West,73,Married,12,Not currently serving but previously served,Retired,Asian,Male,50,60,60,,85,100,100,,,70,60,60,70,,50,70,70,60,85,50,60,60,60,,60,60,70,70,100,85,70,85,85,60,70,70,,60,85,70,60,50,,70,,It doesnt matter,Worse,No,Yes,,No,Care a good deal,,Yes,Gotten worse,Democrat,Not worth it,Increased,,Kept about the same,Kept about the same,Favor,No,Important,Several times a day,No,Heterosexual or straight,Somewhat important,Somewhat larger,"1. By law, abortion should never be permitted.",Somewhat important,No,Yes,Yes,Hardly any are crooked,Disapprove,Neither approve nor disapprove,Favor
out,100,West,63,Widowed,11,R has never served in the military,Retired,Black,Female,0,85,0,85,50,85,70,60,0,100,0,15,50,100,50,50,70,70,100,50,70,50,50,85,50,50,50,100,70,70,,60,50,85,50,50,70,50,50,50,50,50,50,70,0,Better when control is split,The same ,Yes,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Increased,Increased,,No,Important,A few times a week,Yes,Heterosexual or straight,Very important,About the same,,,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Neither favor nor oppose
out,60,West,35,Never married,17,R has never served in the military,Working now,Asian,Male,40,60,70,60,60,40,70,70,40,40,30,40,70,70,50,40,70,40,60,30,30,40,60,50,60,60,30,60,70,40,70,40,50,50,50,70,50,60,70,50,40,50,50,85,40,It doesnt matter,Better,Yes,Yes,No,No,Care a good deal,Will be close,Yes,Gotten worse,Independent,Not worth it,Stayed about the same,Favor,Kept about the same,Increased,Oppose,Yes,Important,Once a day,No,Heterosexual or straight,Very important,Much larger,,,No,Yes,No,Not very many are crooked,Neither approve nor disapprove,Approve,Oppose
in,85,West,20,Never married,12,R has never served in the military,Working now,Other ,Female,40,50,50,30,30,85,85,85,60,70,50,50,60,50,15,70,100,100,100,85,85,70,70,85,100,85,70,85,100,60,70,50,85,85,85,85,85,50,50,85,70,85,85,50,50,Better when control is split,Better,Yes,Yes,Yes,No,Dont care very much,Win by quite a bit,Yes,Gotten worse,Independent,Not worth it,Stayed about the same,,Increased,Increased,Favor,No,Not important,A few times a week,No,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Very important,No,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Oppose
out,85,West,60,Married,14,R has never served in the military,Retired,White,Male,0,60,0,0,0,0,80,0,0,,0,15,60,55,40,50,50,50,85,30,40,60,40,45,75,50,45,40,100,35,55,35,50,50,50,50,50,35,50,50,65,50,50,50,35,Better when one party controls both,Worse,No,Yes,No,No,Care a good deal,Win by quite a bit,No,Stayed about the same,Democrat,Not worth it,Decreased,Favor,Increased,Kept about the same,Favor,No,Important,Several times a day,No,Heterosexual or straight,Very important,Somewhat larger,,,No,Yes,No,Not very many are crooked,Approve,Disapprove,Oppose
in,50,West,32,Never married,14,R has never served in the military,Working now,Hispanic or Latino,Male,40,50,70,60,50,60,50,85,100,15,85,60,60,50,30,50,85,50,100,100,0,30,70,85,100,85,60,0,70,40,70,60,85,85,100,85,85,15,50,40,40,85,85,40,50,Better when control is split,Worse,Yes,Yes,No,No,Care a good deal,Will be close,No,Gotten worse,Republican,Not worth it,Stayed about the same,Favor,Decreased,Increased,Favor,No,Not important,Never,,Heterosexual or straight,Very important,Somewhat larger,,,No,Yes,Yes,Quite a few are crooked,Disapprove,Approve,Oppose
out,85,West,63,Married,12,R has never served in the military,Retired,White,Female,40,60,50,60,30,50,70,60,0,40,50,50,70,85,60,85,85,70,100,70,60,70,70,70,70,85,70,85,85,60,70,40,85,85,85,85,85,60,85,85,70,70,70,70,85,Better when control is split,Better,Yes,Yes,Yes,No,Dont care very much,Will be close,No,Stayed about the same,No preference ,Not worth it,Stayed about the same,Oppose,Decreased,Kept about the same,Oppose,No,Not important,Never,,Heterosexual or straight,Very important,Somewhat larger,,,No,Yes,No,Quite a few are crooked,Neither approve nor disapprove,Neither approve nor disapprove,Oppose
in,85,West,65,Divorced,12,R has never served in the military,Working now,White,Female,0,60,50,60,60,85,85,50,40,50,0,0,60,70,40,60,70,70,100,15,40,60,60,60,70,100,60,60,100,40,60,40,60,40,70,60,60,60,50,60,30,50,50,85,50,Better when one party controls both,Worse,Yes,Yes,Yes,Yes,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Decreased,Favor,Increased,Kept about the same,Favor,Yes,Not important,Once a week or less,No,Homosexual or gay ,Very important,Somewhat larger,,,Yes,Yes,Yes,Not very many are crooked,Approve,Disapprove,Oppose
in,60,West,26,Never married,12,R has never served in the military,Unemployed,White,Male,50,70,30,15,30,40,40,,,30,60,40,40,50,40,50,70,70,70,50,60,50,50,50,50,50,40,60,60,50,50,50,70,50,50,50,50,50,50,50,40,50,50,50,50,Better when control is split,Worse,No,No,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Independent,Not worth it,Stayed about the same,,Increased,Kept about the same,Oppose,No,Not important,Never,,Heterosexual or straight,Somewhat important,Somewhat larger,"4. By law, a woman should always be able to obtain an abortion as a",Somewhat important,No,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Oppose
out,50,West,75,Widowed,12,R has never served in the military,Retired,Other ,Female,85,40,85,,100,0,0,70,70,50,60,50,50,40,100,50,85,50,85,40,40,40,85,40,30,50,50,40,100,40,50,30,50,50,50,50,50,50,50,50,60,50,50,50,50,Better when control is split,The same ,Yes,Yes,No,No,Care a good deal,Will be close,Yes,Stayed about the same,Republican,,Stayed about the same,,Kept about the same,Kept about the same,Oppose,,Not important,Once a day,No,Heterosexual or straight,Very important,,Other  ,Somewhat important,Yes,Yes,Yes,Quite a few are crooked,Neither approve nor disapprove,Neither approve nor disapprove,Favor
out,60,West,26,Never married,11,R has never served in the military,Unemployed,White,Male,60,50,50,,,50,40,,40,50,50,40,40,,50,50,60,60,70,50,60,60,60,60,70,60,50,50,100,40,40,70,50,60,60,60,60,60,60,60,50,70,60,85,60,Better when control is split,Better,No,Yes,No,Yes,Dont care very much,Will be close,No,Gotten worse,Independent,Not worth it,Decreased,Favor,Increased,Increased,Favor,No,Important,Several times a day,No,Heterosexual or straight,Somewhat important,Somewhat larger,,,No,Yes,No,Not very many are crooked,Disapprove,Disapprove,Favor
out,85,West,58,Married,17,Not currently serving but previously served,Working now,White,Female,0,100,30,85,0,70,60,0,0,60,0,0,60,85,15,30,85,85,85,85,60,70,50,85,100,100,15,70,30,15,30,60,85,100,100,100,85,0,50,85,40,100,70,30,70,Better when control is split,Better,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Independent,Not worth it,Increased,,Decreased,Kept about the same,Oppose,Yes,Not important,Never,,Heterosexual or straight,Very important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Very important,No,No,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
in,95,West,50,Married,15,R has never served in the military,Working now,White,Female,15,85,30,85,0,70,70,40,0,60,40,15,30,85,0,70,95,85,95,75,85,85,40,85,85,85,60,90,40,30,60,60,85,85,85,85,85,0,70,85,65,85,85,50,85,Better when one party controls both,Worse,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Kept about the same,Increased,Oppose,No,Not important,A few times a week,,Heterosexual or straight,Somewhat important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Very important,No,Yes,No,Not very many are crooked,Disapprove,Disapprove,Oppose
in,15,West,36,Married,14,Not currently serving but previously served,Permanently disabled,White,Female,15,15,15,30,50,30,30,50,30,30,60,30,40,15,50,50,85,50,100,0,40,15,70,40,50,50,50,70,70,50,50,50,70,60,50,50,50,40,50,70,50,50,50,50,50,It doesnt matter,Worse,Yes,Yes,No,,Dont care very much,Will be close,Yes,Gotten worse,Independent,Not worth it,Decreased,,Increased,,Favor,No,Not important,Once a week or less,,Heterosexual or straight,Somewhat important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Very important,No,Yes,Yes,Quite a few are crooked,Neither approve nor disapprove,Neither approve nor disapprove,Favor
out,85,West,54,Married,13,Not currently serving but previously served,Working now,White,Male,30,70,50,60,40,50,30,,50,60,40,30,40,60,50,70,70,85,85,30,30,40,70,50,60,50,40,60,85,40,70,30,70,70,70,70,70,50,50,70,0,50,50,70,15,Better when control is split,Worse,Yes,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Republican,Not worth it,Increased,Favor,Increased,Decreased,Favor,Yes,Not important,Never,,Heterosexual or straight,Very important,Somewhat larger,,,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Favor
out,60,West,18,Never married,12,R has never served in the military,Working now,White,Male,50,50,50,50,40,50,40,40,,50,50,50,50,50,40,50,50,50,50,40,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,It doesnt matter,,No,No,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Worth it,Stayed about the same,,Kept about the same,Decreased,Oppose,No,Important,Once a week or less,No,Heterosexual or straight,Very important,Much larger,"2. The law should permit abortion only in case of rape, incest, or",Not too important,No,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Favor
out,60,West,53,Married,17,R has never served in the military,Working now,White,Male,40,50,50,50,50,40,60,30,30,30,50,50,70,40,50,50,70,60,70,0,40,50,70,50,40,30,50,40,85,30,50,40,70,50,30,40,70,30,30,50,50,15,30,30,50,Better when control is split,Better,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten better,Republican,Not worth it,Stayed about the same,Oppose,Kept about the same,Kept about the same,Favor,Yes,Not important,Never,,Heterosexual or straight,Very important,Much larger,,,Yes,No,Yes,Quite a few are crooked,Neither approve nor disapprove,Neither approve nor disapprove,Oppose
in,99,West,36,Married,14,R has never served in the military,Working now,Hispanic or Latino,Female,0,85,70,60,15,60,40,50,15,70,50,0,0,50,60,40,100,50,100,50,30,50,50,50,50,100,20,50,50,20,50,20,50,50,100,50,50,50,50,50,50,50,50,100,50,Better when control is split,Worse,Yes,Yes,Yes,Yes,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Stayed about the same,,Increased,Decreased,,Yes,Important,Several times a day,Yes,Heterosexual or straight,Somewhat important,Much larger,"4. By law, a woman should always be able to obtain an abortion as a",Extremely important,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
out,30,West,76,Married,16,Not currently serving but previously served,Working now,White,Male,60,15,60,60,85,30,40,50,70,0,30,40,50,50,70,70,85,50,85,40,60,40,70,40,30,40,70,30,100,15,60,15,70,40,85,85,70,60,70,70,60,40,50,70,50,Better when control is split,Worse,Yes,Yes,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Not worth it,Stayed about the same,Oppose,Increased,Increased,Favor,Yes,Not important,Once a week or less,No,Heterosexual or straight,Very important,About the same,,,No,No,No,Not very many are crooked,Neither approve nor disapprove,Neither approve nor disapprove,Favor
in,30,West,53,Married,13,R has never served in the military,Working now,White,Female,100,0,70,30,100,40,0,70,100,15,70,85,60,40,100,50,50,50,50,30,40,30,85,40,15,50,70,0,85,15,70,0,50,50,50,60,50,50,60,50,85,30,50,70,40,Better when control is split,Better,Yes,Yes,No,Yes,Care a good deal,Will be close,Yes,Stayed about the same,Republican,Worth it,Decreased,,Increased,Decreased,Favor,Yes,Important,Once a day,No,Heterosexual or straight,Very important,About the same,"1. By law, abortion should never be permitted.",Somewhat important,No,No,Yes,Quite a few are crooked,Approve,Approve,Favor
in,40,West,59,Married,12,R has never served in the military,Working now,White,Female,50,30,60,50,85,60,50,60,70,30,50,30,40,40,85,70,85,70,100,0,60,40,50,60,40,40,70,40,85,60,40,30,85,70,70,85,85,60,70,85,60,60,85,70,70,Better when one party controls both,Worse,Yes,Yes,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Independent,Not worth it,Stayed about the same,,Increased,Increased,Favor,No,Not important,Never,,Heterosexual or straight,Very important,Somewhat smaller,"3. The law should permit abortion for reasons other than rape, incest,",Somewhat important,No,No,No,Quite a few are crooked,Disapprove,Disapprove,Favor
out,40,West,32,Married,12,R has never served in the military,Working now,White,Male,40,30,60,50,50,15,50,50,40,40,70,40,60,30,40,70,60,50,60,40,40,40,50,40,40,50,50,40,60,40,60,40,60,50,50,50,50,50,40,50,50,50,50,50,50,Better when control is split,Worse,Yes,Yes,No,Yes,Dont care very much,Will be close,Yes,Gotten worse,Republican,Not worth it,Decreased,,Kept about the same,Decreased,Oppose,Yes,Not important,Never,,Heterosexual or straight,Somewhat important,Somewhat larger,"4. By law, a woman should always be able to obtain an abortion as a",Somewhat important,No,Yes,Yes,Not very many are crooked,Disapprove,Disapprove,Oppose
out,100,West,64,Married,16,R has never served in the military,Working now,White,Female,0,100,40,85,0,85,70,40,0,60,15,0,70,85,15,70,70,70,85,50,70,85,40,85,85,100,50,60,60,60,70,70,50,85,85,85,70,40,50,85,60,85,85,85,50,,Worse,Yes,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Increased,Favor,Kept about the same,Kept about the same,Oppose,No,Important,Once a day,No,Heterosexual or straight,Somewhat important,Much larger,,,No,No,Yes,Not very many are crooked,Neither approve nor disapprove,Disapprove,Oppose
out,40,West,66,Married,17,Not currently serving but previously served,Retired,White,Female,70,0,60,15,85,0,15,70,40,15,50,60,60,0,70,50,50,50,50,15,,40,60,50,0,50,50,30,60,40,60,15,50,50,50,50,59,50,50,50,50,0,50,50,50,It doesnt matter,Worse,Yes,Yes,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Independent,Worth it,Decreased,Oppose,Increased,,Favor,,Important,Several times a day,No,Heterosexual or straight,Very important,About the same,,,No,Yes,No,Quite a few are crooked,Disapprove,Approve,Oppose
out,70,West,66,Widowed,12,R has never served in the military,Working now,White,Female,15,50,40,50,30,70,70,50,30,60,40,15,50,,30,40,60,60,60,50,50,50,60,50,50,60,40,60,50,40,30,40,50,60,50,50,50,50,50,50,50,50,50,60,50,Better when control is split,,Yes,Yes,No,No,Dont care very much,Will be close,No,Gotten worse,Independent,Not worth it,Stayed about the same,Favor,,Decreased,,No,Not important,Once a week or less,No,Heterosexual or straight,Somewhat important,Somewhat larger,,,Yes,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Oppose
out,100,West,60,Married,14,Not currently serving but previously served,Working now,White,Male,0,100,40,100,15,85,70,15,0,70,30,0,70,85,30,50,70,70,85,60,50,85,30,60,70,70,50,50,70,30,50,60,70,85,85,70,40,15,50,60,50,70,70,15,70,Better when control is split,Worse,Yes,Yes,Yes,No,Care a good deal,Win by quite a bit,Yes,Gotten worse,Democrat,Not worth it,Increased,Favor,Increased,Kept about the same,Oppose,Yes,Not important,Never,,Heterosexual or straight,Very important,Much larger,,,No,No,No,Not very many are crooked,Neither approve nor disapprove,Disapprove,Oppose
